Technische Raunmummer unten auf dem Glas;Bauteil Leitsystem auf dem Glas;Text erste Zeile (fett) -> MetaBoldRoman 36 fett;Text zweite Zeile  -> MetaNormalRoman 32Ausnahme: Dienstzimmer: MetaBoldRoman 32 fett ;Text dritte Zeile (leicht) -> MetaNormalRoman 32 nicht fett;Ebene auf dem Glas;Style ;leitende Raumnummerklein oben rechts;leitende Raumnummergroß in der Mitte;PiktogrammTürschild;Zusätzlicher Text oder Nummerauf dem Türblatt
6420.00.231;C;Einleitung;;;0;Style 2;;E18/19;;E18/19
6420.00.232;C;Arbeitsraum rein;;;0;Style 1;232;;;
6420.00.234;C;Einleitung;;;0;Style 2;;E 20;;E 20
6420.00.235;C;WC ;Herren;;0;Style 1;235;;P_H;P_H
6420.00.238;C;Tagesklinik;Umkleide Patienten;;0;Style 1;238;;;
6420.00.240;C;Umkleide Personal;Herren;;0;Style 3;240;;Herren;
6420.00.240;C;Umkleide Personal;Herren;unrein;0;Style 3;240;;Herren;
6420.00.240;C;Umkleide Personal;Herren;rein ;0;Style 3;240;;Herren;
6420.00.240A;C;WC;;;0;Style 3;;;;P_H
6420.00.241;C;Reinigung;;;0;Style 1;241;;;
6420.00.242;C;Entsorgung;;;0;Style 1;242;;;
6420.00.242;C;Entsorgung;;;0;Style 1;242;;;
6420.00.243;C;Lager;;;0;Style 2;;6;;
6420.00.243;C;Lager;;;0;Style 2;;6;;
6420.00.246;C;Umkleide Personal;Damen;;0;Style 3;246;;Damen;
6420.00.246;C;Umkleide Personal;Damen;rein;0;Style 3;246;;Damen;
6420.00.246;C;Umkleide Personal;Damen;unrein;0;Style 3;246;;Damen;
6420.00.246B;C;WC;;;0;Style 3;;;;P_D
6420.00.247;C;Personal;;;0;Style 1;247;;;
6420.00.249;C;Ambulantes Operieren;OP;;0;Style 2;;18;;18
6420.00.250;C;Ambulantes Operieren;OP;;0;Style 2;;19;;19
6420.00.250;C;Ambulantes Operieren;OP;;0;Style 2;;19;;19
6420.00.252;C;Arbeitsraum unrein;;;0;Style 1;252;;;
6420.00.253;C;Rüsten;;;0;Style 1;253;;;
6420.00.253;C;Rüsten;;;0;Style 1;253;;;
6420.00.254;C;Waschraum;;;0;Style 1;254;;;
6420.00.254;C;Waschraum;;;0;Style 1;254;;;
6420.00.256;C;Lager;Geräte;;0;Style 2;;8;;
6420.00.257;C;Ambulantes Operieren;OP;;0;Style 2;;20;;20
6420.00.257;C;Ambulantes Operieren;OP;;0;Style 2;;20;;20
6420.00.259;C;Lager;Geräte;;0;Style 2;;9;;
6420.00.261;C;Lager IMC ;;;0;Style 2;;7;;
6420.00.262;C;;;;0;;;;;
6420.00.300;A;Leitstelle;Sprechstunden;;0;Style 1;300;;;
6420.00.303;B;Radiologie;RIZ;;0;Style 1;303;;;
6420.00.305;C;Patientenverwaltung;Dienstzimmer;;0;Style 1;305;;;
6420.00.400;A;Sozialdienst;Dienstzimmer;;0;Style 1;400;;;
6420.00.401;A;ZPM;;Leitung DV / Prozesse;0;Style 1;401;;;
6420.00.403;A;Sozialdienst;;Frau D. Kellmann;0;Style 1;403;;;
6420.00.404;A;Sozialdienst;;Frau S. Heinrichs;0;Style 1;404;;;
6420.00.406;A;Sozialdienst;Sekretariat;Frau H. Sieber;0;Style 1;406;;;
6420.00.407;A;Zentrales Patientenmanagement ;Urologie / Gefäßchirurgie;Frau M. Fleig;0;Style 1;407;;;
6420.00.409;A;Zentrales Patientenmanagement ;Herzchirurgie;;0;Style 1;409;;;
6420.00.410;A;Zentrales Patientenmanagement ;Allgemein-, Viszeral- und Transplantationschirurgie ;Frau P. Treiber;0;Style 1;410;;;
6420.00.500;E;AWT;Versorgung Entsorgung;;0;Style 1;500;;;
6420.00.501;E;AWT;Versorgung Entsorgung;;0;Style 1;501;;;
6420.00.502;E;Umkleide Personal;Herren;;0;Style 3;502;;Herren;
6420.00.502A;E;;;;0;;;;;P_D
6420.00.502B;E;;;;0;;;;;P_H
6420.00.504;E;WC Personal;Herren;;0;Style 1;504;;;
6420.00.505;E;WC Personal;Damen;;0;Style 1;505;;;
6420.00.506;E;Bereitschaftsdienstzimmer;;;0;Style 2;;E;;
6420.00.506A;E;;;;0;;;;;
6420.00.507;E;Bereitschaftsdienstzimmer;;;0;Style 2;;F;;
6420.00.507A;E;;;;0;;;;;
6420.00.509;E;Bereitschaftsdienstzimmer;;;0;Style 2;;G;;
6420.00.509A;E;;;;0;;;;;
6420.00.510;E;Bereitschaftsdienstzimmer;;;0;Style 2;;H;;
6420.00.510A;E;;;;0;;;;;
6420.00.511;E;Bereitschaftsdienstzimmer;;;0;Style 2;;I;;
6420.00.511A;E;;;;0;;;;;
6420.00.512;E;Lager;Geräte;;0;Style 2;;11;;
6420.00.514;E;IMC Station E;Chirurgie / Anästhesiologie;Patientenzimmer;0;Style 2;;1;;1
6420.00.514A;E;;;;0;;;;;
6420.00.515;E;IMC Station E;Chirurgie / Anästhesiologie;Patientenzimmer;0;Style 2;;2;;2
6420.00.515A;E;;;;0;;;;;
6420.00.517;E;IMC Station E;Chirurgie / Anästhesiologie;Patientenzimmer;0;Style 2;;3;;3
6420.00.517A;E;;;;0;;;;;
6420.00.518;E;IMC Station E;Chirurgie / Anästhesiologie;Patientenzimmer;0;Style 2;;4;;4
6420.00.518A;E;;;;0;;;;;
6420.00.520;E;IMC Station E;Chirurgie / Anästhesiologie;Patientenzimmer;0;Style 2;;5;;5
6420.00.520A;E;;;;0;;;;;
6420.00.521;E;IMC Station E;Chirurgie / Anästhesiologie;Patientenzimmer;0;Style 2;;6;;6
6420.00.521A;E;;;;0;;;;;
6420.00.523;E;Besprechungsraum IMC;;;0;Style 1;523;;;
6420.00.524;E;Viszeralchirurgie;Stationsleitung;Frau B. Trierweiler-Hauke;0;Style 1;524;;;
6420.00.526;E;Lager;Geräte;;0;Style 2;;10;;
6420.00.526;E;Lager;Geräte;;0;Style 2;;10;;
6420.00.529;E;Arbeitsraum rein;;;0;Style 1;529;;;
6420.00.529;E;Arbeitsraum rein;;;0;Style 1;529;;;
6420.00.531;E;Arbeitsraum unrein;;;0;Style 1;531;;;
6420.00.531;E;Arbeitsraum unrein;;;0;Style 1;531;;;
6420.00.532;E;WC /  Dusche Patienten;barrierefrei;;0;Style 3;532;;WC, Dusche, barrierefrei;P_B
6420.00.534;E;Teeküche;;;0;Style 1;534;;;
6420.00.537;E;Lager;Geräte;;0;Style 2;;12;;
6420.00.537;E;Lager;Geräte;;0;Style 2;;12;;
6420.00.539;E;Personal;;;0;Style 1;539;;;
6420.00.539;E;Personal;;;0;Style 1;539;;;
6420.00.541;E;WC ;Herren;;0;Style 3;541;;P_H;P_H
6420.00.542;E;WC ;Damen;;0;Style 3;542;;P_D;P_D
6420.00.543;E;WC ;barrierefrei;;0;Style 3;543;;P_B;P_B
6420.00.545;E;Bereitschaftsdienstzimmer;;;0;Style 2;;J;;
6420.00.545A;E;;;;0;;;;;
6420.00.546;E;Bereitschaftsdienstzimmer;;;0;Style 2;;K;;
6420.00.546A;E;;;;0;;;;;
6420.00.548;E;Stationsärzte ;;;0;Style 1;548;;;
6420.00.549;E;IMC Station E;Chirurgie / Anästhesiologie;Patientenzimmer;0;Style 2;;7;;7
6420.00.549A;E;;;;0;;;;;
6420.00.551;E;IMC Station E;Chirurgie / Anästhesiologie;Patientenzimmer;0;Style 2;;8;;8
6420.00.551A;E;;;;0;;;;;
6420.00.552;E;IMC Station E;Chirurgie / Anästhesiologie;Patientenzimmer;0;Style 2;;9;;9
6420.00.552A;E;;;;0;;;;;
6420.00.554;E;IMC Station E;Chirurgie / Anästhesiologie;Patientenzimmer;0;Style 2;;10;;10
6420.00.554A;E;;;;0;;;;;
6420.00.555;E;IMC Station E;Chirurgie / Anästhesiologie;Patientenzimmer;0;Style 2;;11;;11
6420.00.555A;E;;;;0;;;;;
6420.00.557;E;IMC Station E;Chirurgie / Anästhesiologie;Patientenzimmer;0;Style 2;;12;;12
6420.00.557A;E;;;;0;;;;;
6420.00.558;E;IMC Station E;Chirurgie / Anästhesiologie;Patientenzimmer;0;Style 2;;13;;13
6420.00.558A;E;;;;0;;;;;
6420.00.560;E;Viszeralchirurgie;Stellvertretungen;;0;Style 1;560;;;
6420.00.561;E;Viszeralchirurgie;Dienstzimmer;Herr Dr. M. Mieth;0;Style 1;561;;;
6420.00.600;F;Umkleide Personal;Damen;;0;Style 3;600;;Damen;
6420.00.600;F;Umkleide Personal;Damen;;0;Style 3;600;;Damen;
6420.00.600A;F;;;;0;;;;;P_H
6420.00.600A;F;;;;0;;;;;
6420.00.600A;F;;;;0;;;;;
6420.00.601;F;AWT;Versorgung Entsorgung;;0;Style 1;601;;;
6420.00.602;F;AWT;Versorgung Entsorgung;;0;Style 1;602;;;
6420.00.604;F;Reinigung;;;0;Style 1;604;;;
6420.00.605;F;WC Personal;Herren;;0;Style 3;605;;P_H;
6420.00.606;F;WC Personal;Damen;;0;Style 3;606;;P_D;
6420.00.607;F;Bereitschaftsdienstzimmer;;;0;Style 2;;L;;
6420.00.607A;F;;;;0;;;;;
6420.00.608;F;Bereitschaftsdienstzimmer;;;0;Style 2;;M;;
6420.00.608A;F;;;;0;;;;;
6420.00.610;F;Viszeralchirurgie/ Urologie;Shared Desk Assistenten Viszeralchirurgie;Frau S. SteinbergFrau J. VillalbaFrau E. Werthwein ;0;Style 1;610;;;
6420.00.611;F;Station F0;Patientenzimmer;;0;Style 2;;31;;31
6420.00.611A;F;;;;0;;;;;
6420.00.613;F;Station F0;Patientenzimmer;;0;Style 2;;32;;32
6420.00.613A;F;;;;0;;;;;
6420.00.614;F;Station F0;Patientenzimmer;;0;Style 2;;33;;33
6420.00.614A;F;;;;0;;;;;
6420.00.616;F;Station F0;Patientenzimmer;;0;Style 2;;34;;34
6420.00.616A;F;;;;0;;;;;
6420.00.617;F;Station F0;Patientenzimmer;;0;Style 2;;35;;35
6420.00.617A;F;;;;0;;;;;
6420.00.619;F;ÖKH;;;0;Style 2;;36;;36
6420.00.619A;F;;;;0;;;;;
6420.00.620;F;Station F0;Patientenzimmer;;0;Style 2;;37;;37
6420.00.620A;F;;;;0;;;;;
6420.00.622;F;Allgemein-, Viszeral- und Transplantationschirurgie;Dienstzimmer;Stationsärzte;0;Style 1;622;;;
6420.00.623;F;Allgemein-, Viszeral- und Transplantationschirurgie;Stellvertretungen ;;0;Style 1;623;;;
6420.00.625;F;Allgemein-, Viszeral- und Transplantationschirurgie;DRG;Frau A. Messmer;0;Style 1;625;;;
6420.00.627;F;Viszeralchirurgie / Urologie;Stationsleitung;Frau A . Brobeil;0;Style 1;627;;;
6420.00.630;F;Arbeitsraum rein;;;0;Style 1;630;;;
6420.00.630;F;Arbeitsraum rein;;;0;Style 1;630;;;
6420.00.632;F;Arbeitsraum unrein;;;0;Style 1;632;;;
6420.00.632;F;Arbeitsraum unrein;;;0;Style 1;632;;;
6420.00.634;F;Teeküche;;;0;Style 1;634;;;
6420.00.635;F;WC /  Dusche Patienten;barrierefrei;;0;Style 3;635;;WC, Dusche, barrierefrei;P_B
6420.00.637;F;Lager;Geräte;;0;Style 2;;13;;
6420.00.637;F;Lager;Geräte;;0;Style 2;;13;;
6420.00.639;F;Personal;;;0;Style 1;639;;;
6420.00.639;F;Personal;;;0;Style 1;639;;;
6420.00.641;F;WC;Damen;;0;Style 3;641;;P_D;P_D
6420.00.642;F;WC;Herren;;0;Style 3;642;;P_H;P_H
6420.00.644;F;Bereitschaftsdienstzimmer;;;0;Style 2;;N;;
6420.00.644A;F;;;;0;;;;;
6420.00.645;F;Bereitschaftsdienstzimmer;;;0;Style 2;;O;;
6420.00.645A;F;;;;0;;;;;
6420.00.647;F;Bereitschaftsdienstzimmer;;;0;Style 2;;P;;
6420.00.647A;F;;;;0;;;;;
6420.00.648;F;Bereitschaftsdienstzimmer;;;0;Style 2;;Q;;
6420.00.648A;F;;;;0;;;;;
6420.00.649;F;Bereitschaftsdienstzimmer;;;0;Style 2;;R;;
6420.00.649A;F;;;;0;;;;;
6420.00.650;F;Lager;Geräte;;0;Style 2;;14;;
6420.00.652;F;Station F0;Patientenzimmer;;0;Style 2;;38;;38
6420.00.652A;F;;;;0;;;;;
6420.00.653;F;Station F0;Patientenzimmer;;0;Style 2;;39;;39
6420.00.653A;F;;;;0;;;;;
6420.00.655;F;Station F0;Patientenzimmer;;0;Style 2;;40;;40
6420.00.655A;F;;;;0;;;;;
6420.00.656;F;Station F0;Patientenzimmer;;0;Style 2;;41;;41
6420.00.656A;F;;;;0;;;;;
6420.00.658;F;Station F0;Patientenzimmer;;0;Style 2;;42;;42
6420.00.658A;F;;;;0;;;;;
6420.00.659;F;Station F0;Patientenzimmer;;0;Style 2;;43;;43
6420.00.659A;F;;;;0;;;;;
6420.00.661;F;Viszeralchirurgie / Urologie;Schreibdienst;Frau Ch. KleinFrau A. Lindauer;0;Style 1;661;;;
6420.00.662;F;Viszeralchirurgie / Urologie;Stationsleitung;;0;Style 1;662;;;
6420.00.700;A;;;;0;;;;;
6420.00.700;A;;;;0;;;;;
6420.00.709;A;Technik;EDV;;0;Style 1;709;;;
6420.00.710;A;;;;0;;;;;
6420.00.718;A;;;;0;;;;;
6420.00.720;A;;;;0;;;;;
6420.00.721;A;;;;0;;;;;
6420.00.722;A;Technik;EDV;;0;Style 1;722;;;
6420.00.723;A;Technik;BMZ;;0;Style 1;723;;;
6420.00.723A;A;;;;0;;;;;
6420.00.729;B;;;;0;;;;;
6420.00.739;C;;;;0;;;;;
6420.00.750;A;;;;0;;;;;
6420.00.751;A;Technik;SV;;0;Style 1;751;;;
6420.00.752;A;Technik;AV;;0;Style 1;752;;;
6420.00.753;B;;;;0;;;;;
6420.00.755;B;;;;0;;;;;
6420.00.756;B;;;;0;;;;;
6420.00.757;B;Technik;SV;;0;Style 1;757;;;
6420.00.757A;B;;;;0;;;;;
6420.00.758;B;Technik;EDV;;0;Style 1;758;;;
6420.00.760;C;Technik;EDV;;0;Style 1;760;;;
6420.00.761;C;Technik;SV;;0;Style 1;761;;;
6420.00.761A;C;;;;0;;;;;
6420.00.762;C;;;;0;;;;;
6420.00.763;C;;;;0;;;;;
6420.00.764;C;Technik;Lager;;0;Style 1;674;;;
6420.00.765;C;;;;0;;;;;
6420.00.766;C;Technik;IT;;0;Style 1;766;;;
6420.00.767;A;;;;0;;;;;
6420.00.768;A;;;;0;;;;;
6420.00.776;E;;;;0;;;;;
6420.00.777;E;;;;0;;;;;
6420.00.778;E;Technik;EDV E;;0;Style 1;778;;;
6420.00.779;E;;;;0;;;;;
6420.00.780;E;;;;0;;;;;
6420.00.781;E;;;;0;;;;;
6420.00.782;E;;;;0;;;;;
6420.00.783;E;Technik;IT Raum;;0;Style 1;783;;;
6420.00.785;E;;;;0;;;;;
6420.00.787;F;;;;0;;;;;
6420.00.788;F;;;;0;;;;;
6420.00.789;F;;;;0;;;;;
6420.00.790;F;;;;0;;;;;
6420.00.791;F;;;;0;;;;;
6420.00.792;F;;;;0;;;;;
6420.00.793;F;Technik;EDV F;;0;Style 1;793;;;
6420.00.794;F;Technik;IT Raum;;0;Style 1;794;;;
6420.00.795;F;;;;0;;;;;
6420.00.800;A;;;;0;;;;;
6420.00.800;A;;;;0;;;;;
6420.00.801;A;;;;0;;;;;
6420.00.802;B;;;;0;;;;;
6420.00.802;B;;;;0;;;;;
6420.00.803;C;;;;0;;;;;
6420.00.803;C;;;;0;;;;;
6420.00.804;E;;;;0;;;;;
6420.00.805;E;;;;0;;;;;
6420.00.805;E;;;;0;;;;;
6420.00.806;F;;;;0;;;;;
6420.00.807;F;;;;0;;;;;
6420.00.807;F;;;;0;;;;;
6420.00.820;E;;;;0;;;;;
6420.00.822;A;;;;0;;;;;
6420.00.823;A;;;;0;;;;;
6420.00.823;A;;;;0;;;;;
6420.00.824;A;;;;0;;;;;
6420.00.825;A;;;;0;;;;;
6420.00.826;A;;;;0;;;;;
6420.00.826;A;;;;0;;;;;
6420.00.827;A;;;;0;;;;;
6420.00.828;A;;;;0;;;;;
6420.00.830;A;;;;0;;;;;
6420.00.835;B;;;;0;;;;;
6420.00.836;B;;;;0;;;;;
6420.00.840;C;;;;0;;;;;
6420.00.841;C;;;;0;;;;;
6420.00.843;C;;;;0;;;;;
6420.00.844;C;;;;0;;;;;
6420.00.845;C;;;;0;;;;;
6420.00.850;E;;;;0;;;;;
6420.00.851;E;;;;0;;;;;
6420.00.853;E;;;;0;;;;;
6420.00.855;F;;;;0;;;;;
6420.00.856;F;;;;0;;;;;
6420.00.857;F;;;;0;;;;;
6420.01.001;A;Urologie;Dienstzimmer;Assistenzärzte;1;Style 1;1;;;
6420.01.002;A;Urologie;Dienstzimmer;Assistenzärzte;1;Style 1;2;;;
6420.01.004;A;Urologie;Dienstzimmer;Assistenzärzte;1;Style 1;4;;;
6420.01.005;A;Urologie;Dienstzimmer;Assistenzärzte;1;Style 1;5;;;
6420.01.007;A;Urologie;Dienstzimmer;Assistenzärzte;1;Style 1;7;;;
6420.01.008;A;Urologie;Dienstzimmer;Assistenzärzte;1;Style 1;8;;;
6420.01.010;A;Urologie;Dienstzimmer;;1;Style 1;10;;;
6420.01.011;A;Urologie;Dienstzimmer;Oberärzte;1;Style 1;11;;;
6420.01.013;A;Urologie;Dienstzimmer;Frau C. KochFrau D. MelloFrau M. SchwindFrau K. Spitzer;1;Style 1;13;;;
6420.01.014;A;Urologie;Dienstzimmer OA-Sekretariat;;1;Style 1;14;;;
6420.01.016;A;Urologie;Dienstzimmer;Frau H. GutzlerFrau U. Bickelhaupt;1;Style 1;16;;;
6420.01.017;A;Urologie;Geschäftsführender Oberarzt;Herr Dr. G. Hatiboglu;1;Style 1;17;;;
6420.01.018;A;Urologie;Leitende Oberärztin ;Frau Dr. J. Nyarangi-Dix;1;Style 1;18;;;
6420.01.020;A;Urologie;Ärztlicher Direktor Sekretariat;Sekretariat;1;Style 1;20;;;
6420.01.021;A;Urologie;Ärztlicher Direktor;;1;;;;;
6420.01.023;A;Urologie;Ärztlicher Direktor Besprechungsraum;Ärztlicher Direktor;1;Style 1;23;;;
6420.01.025;A;AWT;Versorgung;;1;Style 1;25;;;
6420.01.026;A;AWT;Entsorgung;;1;Style 1;26;;;
6420.01.027;A;Casino;Kühlraum;;1;Style 1;27;;;
6420.01.030;A;Personal;;;1;Style 1;30;;;
6420.01.031;A;Casino;Lager;;1;Style 1;31;;;
6420.01.032;A;Umkleide Personal;Herren;;1;Style 3;32;;Herren;
6420.01.033;A;Umkleide Personal;Damen;;1;Style 3;33;;Damen;
6420.01.034;A;WC Personal;Damen;;1;Style 3;34;;P_D;
6420.01.035;A;WC Personal;Herren;;1;Style 3;35;;P_H;
6420.01.036;A;Allgemein-, Viszeral- und Transplantationschirurgie;Leitung Chir. Ambulanz;Frau Dr. Ch. Leowardi;1;Style 1;36;;;
6420.01.037;A;Reinigung;;;1;Style 1;37;;;
6420.01.038;A;Personal;;;1;Style 1;38;;;
6420.01.039;A;Kopierraum;;;1;Style 1;39;;;
6420.01.040;A;Hörsaal;;;1;Style 1;40;;;
6420.01.040;A;Hörsaal;;;1;Style 1;40;;;
6420.01.041;A;;Dienstzimmer;;1;Style 1;41;;;
6420.01.042;;Diagnostische und Interventionelle Radiologie ;Geschäftsführende Oberärztin Leiterin Sektion Abdominelle Radiologie ;Frau Prof. Dr. M. Klauß ;1;Style 1;;;;
6420.01.043;A;Hörsaal;Projektion;;1;Style 1;43;;;
6420.01.050;A;WC Personal;Damen;;1;Style 3;50;;P_D;
6420.01.051;A;WC Personal;Herren;;1;Style 3;51;;P_H;
6420.01.052;A;WC;Barrierefrei;;1;Style 3;52;;P_B;P_B
6420.01.053;A;Medienzentrum;;;1;Style 1;53;;;
6420.01.054;A;Medienzentrum;;;1;Style 1;54;;;
6420.01.057;A;Diagnostische und Interventionelle Radiologie ;Leitender Oberarzt Leiter Sektion Pulmonale Radiologie ;Herr PD Dr. M. Wielpütz;1;Style 1;57;;;
6420.01.058;A;Diagnostische und Interventionelle Radiologie ;Sekretariat;Frau K. Schröder;1;Style 1;58;;;
6420.01.060;A;Diagnostische und Interventionelle Radiologie ;Ärztlicher Direktor Besprechungsraum;Ärztlicher Direktor;1;Style 1;60;;;
6420.01.061;A;Diagnostische und Interventionelle Radiologie ;Ärztlicher Direktor Sekretariat;Sekretariat;1;Style 1;61;;;
6420.01.063;A;Diagnostische und Interventionelle Radiologie ;Ärztlicher Direktor;Sekretariat;1;Style 1;61;;;
6420.01.064;A;Diagnostische und Interventionelle Radiologie ;MTRA-Bereichsleitung;Frau H. Atmaz;1;Style 1;64;;;
6420.01.066;A;Diagnostische und Interventionelle Radiologie ;Dienstzimmer;Herr D. Schneider;1;Style 1;66;;;
6420.01.067;A;Diagnostische und Interventionelle Radiologie ;Dienstzimmer;Frau Dr. B. Selmi-Özer;1;Style 1;67;;;
6420.01.069;A;Diagnostische und Interventionelle Radiologie ;Shared Desk;Herr PD Dr. M. Maier;1;Style 1;69;;;
6420.01.070;A;Diagnostische und Interventionelle Radiologie ;Dienstzimmer;;1;Style 1;70;;;
6420.01.072;A;Diagnostische und Interventionelle Radiologie ;Dienstzimmer;;1;Style 1;72;;;
6420.01.075;A;Lager;;;1;Style 1;;3;;
6420.01.076;A;Casino;Spülküche;;1;Style 1;76;;;
6420.01.077;A;Casino;Ausgabe;;1;Style 1;77;;;
6420.01.077;A;Casino;Ausgabe;;1;Style 1;77;;;
6420.01.077;A;Casino;Ausgabe;;1;Style 1;77;;;
6420.01.300;A;Anästhesiologie;Dokumentation;Frau S. HaagFrau B. Beck-MüllerFrau S. TheisFrau C. WinklerFrau S. Schrödersecker;1;Style 1;300;;;
6420.01.304;B;Besprechungsraum 01;;;1;Style 1;304;;;
6420.01.307;B;Reinigung;;;1;Style 1;307;;;
6420.01.308;B;Anästhesiologie;Shared Desk III;;1;Style 1;308;;;
6420.01.310;B;Anästhesiologie;Oberarzt;Herr Prof. Dr. J. Motsch;1;Style 1;310;;;
6420.01.311;;Anästhesiologie;Oberarzt Leiter Sektion Notfallmedizin ;Herr Prof. Dr. E. Popp;1;Style 1;;;;
6420.01.312;B;WC Personal;Herren;;1;Style 3;312;;P_H;
6420.01.313;B;WC Personal;Damen;;1;Style 3;313;;P_D;
6420.01.315;B;Anästhesiologie;Shared Desk II;Frau Dr. H. Janßen;1;Style 1;315;;;
6420.01.317;C;Anästhesiologie;Shared Desk I;Herr Dr. Ch. EisnerHerr Dr. O. Gutzeit;1;Style 1;317;;;
6420.01.319;C;WC;Damen;;1;Style 3;319;;P_D;P_D
6420.01.320;C;WC;Herren;;1;Style 3;320;;P_H;P_H
6420.01.321;C;Anästhesiologie;Dienstzimmer;Herr F. Uhle;1;Style 1;321;;;
6420.01.322;C;Anästhesiologie;Oberärztin;Frau Dr. R. von Haken;1;Style 1;322;;;
6420.01.324;C;WC;;;1;Style 3;324;;P_D-H;P_D-H
6420.01.325;C;Kopierraum;;;1;Style 1;325;;;
6420.01.326;;Allgemein-, Viszeral- und Transplantationschirurgie;Geschäftsführender Oberarzt Leiter Sektion Minimal Invasive Chirurgie ;Herr Prof. Dr. B. Müller ;1;Style 1;;;;
6420.01.328;C;Allgemein-, Viszeral- und Transplantationschirurgie;Sekretariat Oberärzte;Frau K. Bader-Nietsch;1;Style 1;328;;;
6420.01.329;C;;Dienstzimmer;;1;Style 1;329;;;
6420.01.330;;Allgemein-, Viszeral- und Transplantationschirurgie;Leitender Oberarzt Leiter Sektion Pankreaschirurgie ;Herr Prof. Dr. T. Hackert ;1;Style 1;;;;
6420.01.332;A;Zentrum für Infektiologie ;Sektion für Krankenhaus- und Umwelthygiene ;Herr F. Heckmann;1;Style 1;332;;;
6420.01.333;A;Allg. Bereich;Besprechung;Pflegedienstleitung;1;Style 1;333;;;
6420.01.335;A;Allg. Bereich;Dienstzimmer;Herr M. Schubert;1;Style 1;335;;;
6420.01.336;B;Allg. Bereich;Dienstzimmer;Herr G. Zuber;1;Style 1;336;;;
6420.01.337;B;Allg. Bereich;Dienstzimmer;Frau A. Hinkel;1;Style 1;337;;;
6420.01.338;B;Allg. Bereich;Dienstzimmer;Frau U. Lange;1;Style 1;338;;;
6420.01.340;B;Pflegedienstleitung;Sekretariat ;Frau P. Niemeyer;1;Style 1;340;;;
6420.01.341;B;Pflegedienstleitung;Assistenz ;Herr M. Schmich;1;Style 1;341;;;
6420.01.343;B;Stellv. Pflegedienstleitung;;Frau I. Farrenkopf;1;Style 1;343;;;
6420.01.346;B;Pflegedienstleitung;;;1;;;;;
6420.01.344;B;Pflegedienstleitung;Sekretariat;Frau J. Poljanac;1;Style 1;344;;;
6420.01.347;B;Kaufmännische Leitung;Assistenz;Frau M. Simon;1;Style 1;347;;;
6420.01.349;B;Kaufmännische Leitung;;;1;;;;;
6420.01.350;B;Anästhesiologie;Dienstzimmer;Herr Dr. S. Weiterer;1;Style 1;350;;;
6420.01.352;B;Anästhesiologie;Dienstzimmer;Herr Dr. Ph.D. J. Larmann;1;Style 1;352;;;
6420.01.353;B;Anästhesiologie;Ärztlicher Direktor;Ärztlicher Direktor;1;Style 1;353;;;
6420.01.356;C;Anästhesiologie;Ärztlicher Direktor Sekretariat;Sekretariat;1;Style 1;356;;;
6420.01.355;C;Anästhesiologie;;;1;;;;;
6420.01.357;C;Anästhesiologie;Stv. Ärztl. Direktor;Herr PD Dr. Ch. Lichtenstern;1;Style 1;357;;;
6420.01.359;;Anästhesiologie;Leitender Oberarzt  ;Herr Prof. Dr. T. Brenner ;1;Style 1;;;;
6420.01.360;C;Anästhesiologie;Leiter Zentrum für Schmerztherapie und Palliativmedizin;Herr Prof. Dr. H.J. Bardenheuer;1;Style 1;360;;;
6420.01.362;;Allgemein-, Viszeral- und Transplantationschirurgie;Erster Oberarzt Leiter Sektion Endokrine Chirurgie;Herr Prof. M. Schneider ;1;Style 1;;;;
6420.01.363;;Allgemein-, Viszeral- und Transplantationschirurgie;Erster OberarztLeiter Sektion Leberchirurgie und Transplantationschirurgie ;Herr Prof. Dr. A. Mehrabi ;1;Style 1;;;;
6420.01.365;C;Allgemein-, Viszeral- und Transplantationschirurgie;Sekretariat;Frau A. D'Alessandro;1;Style 1;365;;;
6420.01.366;;Allgemein-, Viszeral- und Transplantationschirurgie;Leiter Sektion Chirurgische Onkologie;;1;Style 1;;;;
6420.01.368;;Allgemein-, Viszeral- und Transplantationschirurgie;Erster Oberarzt Leiter Sektion Endokrine Chirurgie ;Herr Prof. Dr. O. Strobel ;1;Style 1;;;;
6420.01.369;C;Allgemein-, Viszeral- und Transplantationschirurgie;Ärztlicher Direktor Sekretariat;Sekretariat;1;Style 1;369;;;
6420.01.371;C;Allgemein-, Viszeral- und Transplantationschirurgie;Ärztlicher Direktor Sekretariat;Sekretariat;1;Style 1;371;;;
6420.01.372;;Allgemein-, Viszeral- und Transplantationschirurgie;Ärztlicher Direktor;;1;Stlye 1;;;;
6420.01.373;C;Allgemein-, Viszeral- und Transplantationschirurgie;Ärztlicher Direktor Besprechungsraum;Ärztlicher Direktor;1;Style 1;373;;;
6420.01.400;A;Bereitschaftsdienstzimmer;;;1;Style 2;;S;;
6420.01.400A;A;;;;1;;;;;
6420.01.401;A;Bereitschaftsdienstzimmer;;;1;Style 2;;T;;
6420.01.401A;A;;;;1;;;;;
6420.01.402;A;Bereitschaftsdienstzimmer;;;1;Style 2;;U;;
6420.01.402A;A;;;;1;;;;;
6420.01.403;A;Bereitschaftsdienstzimmer;;;1;Style 2;;V;;
6420.01.403A;A;;;;1;;;;;
6420.01.404;A;Bereitschaftsdienstzimmer;;;1;Style 2;;W;;
6420.01.404A;A;;;;1;;;;;
6420.01.405;A;Bereitschaftsdienstzimmer;;;1;Style 2;;Y;;
